Customer ID,Age,Gender,City,Subscription Type,Monthly Spending,Tenure,Number of Purchases,Customer Support Requests,Login Frequency,Last Activity Date,Satisfaction Score,Churn Status
CUST00001,63,Female,Wayneport,Premium,957.38,114,53,4,16,2025-07-18,8,No
CUST00002,66,Female,North Richard,Basic,737.62,43,89,7,40,2026-02-24,1,No
CUST00003,36,Male,Rodriguezside,Basic,1233.88,61,64,16,31,2025-10-11,6,No
CUST00004,38,Female,Lake Jimmy,Standard,1067.98,104,152,15,48,2026-06-04,6,No
CUST00005,63,Male,South Dominique,Standard,1542.92,50,56,9,55,2026-04-14,9,No
CUST00006,46,Female,North Erinfurt,Basic,114.15,95,130,20,8,2026-02-14,10,No
CUST00007,54,Male,South Johnmouth,Basic,884.94,56,16,4,20,2026-02-16,8,No
CUST00008,40,Female,East Michaeltown,Basic,669.89,57,114,15,16,2025-09-10,2,Yes
CUST00009,37,Male,Port Nicole,Standard,64.14,17,97,7,49,2026-04-12,4,Yes
CUST00010,58,Female,Rochaburgh,Standard,595.76,3,112,9,35,2025-08-26,2,No
CUST00011,63,Male,Sheltonhaven,Premium,1868.89,21,124,8,52,2026-03-02,1,Yes
CUST00012,69,Female,Santosside,Premium,480.66,95,30,9,16,2026-06-18,3,No
CUST00013,69,Female,Port Theresa,Basic,1872.29,97,31,2,39,2026-05-28,3,No
CUST00014,36,Male,Caitlinchester,Standard,931.22,2,122,9,17,2025-12-29,9,No
CUST00015,45,Female,Hansenberg,Standard,738.19,51,21,2,55,2025-08-14,8,No
CUST00016,68,Male,East Jeffrey,Standard,1013.76,75,127,18,18,2025-11-08,7,No
CUST00017,23,Male,Lozanoburgh,Basic,345.03,114,36,7,16,2025-12-21,8,Yes
CUST00018,31,Female,Nealport,Premium,774.76,25,150,18,38,2026-02-04,3,Yes
CUST00019,69,Male,Ronaldfort,Standard,1144.48,81,76,8,24,2025-09-03,4,Yes
CUST00020,28,Male,Lake Joshuamouth,Premium,828.16,70,139,13,60,2026-03-25,9,Yes
CUST00021,47,Male,North Trevor,Standard,1387.68,9,95,3,16,2025-12-14,3,No
CUST00022,32,Female,Port Jonathanport,Premium,285.28,52,143,6,3,2025-08-09,5,No
CUST00023,66,Male,Robbinsview,Premium,1152.69,100,106,15,36,2026-04-15,7,No
CUST00024,36,Male,Tonyhaven,Premium,1449.96,16,63,0,28,2026-02-03,4,No
CUST00025,57,Female,Isaacbury,Basic,1568.8,108,137,9,12,2025-12-02,1,Yes
CUST00026,68,Female,Lake Adam,Premium,1128.56,64,120,17,39,2025-07-18,7,No
